"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 13 05:06:51 UTC 2023","Thu Jul 13 05:07:14 UTC 2023","23192","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Jul 13 04:25:11 UTC 2023","Thu Jul 13 04:25:12 UTC 2023","390","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Thu Jul 13 05:22:28 UTC 2023","Thu Jul 13 05:22:32 UTC 2023","3750","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Thu Jul 13 05:15:54 UTC 2023","Thu Jul 13 05:15:56 UTC 2023","1902","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Thu Jul 13 05:02:56 UTC 2023","Thu Jul 13 05:02:58 UTC 2023","2784","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Thu Jul 13 05:02:16 UTC 2023","Thu Jul 13 05:02:27 UTC 2023","11332","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Thu Jul 13 05:09:24 UTC 2023","Thu Jul 13 05:09:29 UTC 2023","5063","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Thu Jul 13 04:39:15 UTC 2023","Thu Jul 13 04:39:20 UTC 2023","4979","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jul 13 04:32:26 UTC 2023","Thu Jul 13 04:32:30 UTC 2023","4312","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jul 13 04:13:47 UTC 2023","Thu Jul 13 04:13:59 UTC 2023","12296","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Thu Jul 13 05:15:28 UTC 2023","Thu Jul 13 05:15:54 UTC 2023","25770","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jul 13 04:44:28 UTC 2023","Thu Jul 13 04:44:31 UTC 2023","2801","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Thu Jul 13 04:25:24 UTC 2023","Thu Jul 13 04:25:25 UTC 2023","1007","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Thu Jul 13 04:35:43 UTC 2023","Thu Jul 13 04:35:52 UTC 2023","8758","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Thu Jul 13 04:44:50 UTC 2023","Thu Jul 13 04:44:54 UTC 2023","3428","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Thu Jul 13 04:43:52 UTC 2023","Thu Jul 13 04:44:07 UTC 2023","15734","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Thu Jul 13 05:39:17 UTC 2023","Thu Jul 13 05:39:17 UTC 2023","646","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Thu Jul 13 04:14:41 UTC 2023","Thu Jul 13 04:15:15 UTC 2023","34541","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Thu Jul 13 04:29:38 UTC 2023","Thu Jul 13 04:29:48 UTC 2023","10233","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Thu Jul 13 05:41:12 UTC 2023","Thu Jul 13 05:41:23 UTC 2023","11062","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Thu Jul 13 04:39:09 UTC 2023","Thu Jul 13 04:39:11 UTC 2023","2106","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Thu Jul 13 04:39:11 UTC 2023","Thu Jul 13 04:39:15 UTC 2023","4125","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Thu Jul 13 04:13:59 UTC 2023","Thu Jul 13 04:14:27 UTC 2023","27831","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
